Published Date,Account,Account Type,Campaign Name,Total Impressions,Total Engagements,Media Type
2/1/2023 3:30,CSGO,TWITTER,Community Engagement ,2842,102,Photo
2/1/2023 4:31,CSGO,TWITTER,Community Engagement ,1778,33,Photo
2/1/2023 4:31,General ,INSTAGRAM,Community Engagement ,5940,0,Photo
2/1/2023 5:27,CSGO,TWITTER,Community Engagement ,1427,36,Photo
2/1/2023 5:28,General ,INSTAGRAM,Community Engagement ,4840,0,Photo
2/1/2023 9:00,General ,TWITTER,Community Engagement ,7462,28,Text
2/1/2023 9:00,General ,TWITTER,Community Engagement ,8630,25,Link
2/1/2023 9:00,General ,TWITTER,Community Engagement ,2365,11,Link
2/1/2023 9:00,General ,TWITTER,Community Engagement ,1927,10,Link
2/1/2023 9:00,General ,TWITTER,Community Engagement ,1679,6,Link
2/1/2023 9:00,General ,TWITTER,Community Engagement ,1697,12,Link
2/1/2023 9:00,General ,TWITTER,Community Engagement ,1826,8,Link
2/1/2023 9:00,General ,TWITTER,Community Engagement ,15059,103,Text
2/1/2023 11:00,General ,TWITTER,Community Engagement ,110459,2342,Photo
2/1/2023 11:11,CSGO,TWITTER,N/A ,0,0,Text
2/1/2023 11:13,CSGO,TWITTER,N/A ,0,0,Link
2/1/2023 11:13,CSGO,TWITTER,N/A ,0,0,Link
2/1/2023 12:00,General ,TWITTER,Community Engagement ,12782,394,Video
2/1/2023 12:30,General ,TWITTER,Community Engagement ,304,16,Photo
2/1/2023 15:00,General ,TWITTER,Community Engagement ,9796,40,Photo
2/1/2023 15:00,General,LINKEDIN_COMPANY,Community Engagement ,1111,17,Photo
2/1/2023 15:00,General ,FBPAGE,Community Engagement ,29032,413,Photo
2/1/2023 15:10,General ,YOUTUBE,Evergreen ,503,16,Video
2/1/2023 15:11,General ,INSTAGRAM,Evergreen ,1530,17,Video
2/1/2023 15:24,General ,TIKTOK_BUSINESS,Evergreen ,144,11,Video
2/1/2023 16:00,General ,FBPAGE,Community Engagement ,10058,361,Video
2/1/2023 17:30,General ,YOUTUBE,Evergreen ,742,36,Video
2/1/2023 17:30,General ,TIKTOK_BUSINESS,Evergreen ,454,39,Video
2/1/2023 17:30,General ,INSTAGRAM,Evergreen ,12783,270,Video
2/2/2023 9:30,General ,YOUTUBE,Evergreen ,430,15,Video
2/2/2023 9:30,General ,TIKTOK_BUSINESS,Evergreen ,1313,43,Video
2/2/2023 9:30,General ,INSTAGRAM,Evergreen ,12223,218,Video
2/2/2023 10:27,General ,TWITTER,N/A ,0,0,Link
2/2/2023 10:46,General ,TWITTER,Evil Exhibited ,17460,886,Video
2/2/2023 10:50,CSGO,TWITTER,N/A ,0,0,Text
2/2/2023 10:52,CSGO,TWITTER,Community Engagement ,2964,63,Photo
2/2/2023 11:15,CSGO,TWITTER,N/A ,0,0,Video
2/2/2023 11:22,CSGO,TWITTER,Community Engagement ,1620,167,Video
2/2/2023 11:39,CSGO,TWITTER,N/A ,0,0,Video
2/2/2023 11:44,CSGO,TWITTER,Community Engagement ,1607,128,Video
2/2/2023 12:00,General ,TWITTER,Community Engagement ,8248,239,Video
2/2/2023 12:01,CSGO,TWITTER,Community Engagement ,2406,39,Photo
2/2/2023 12:25,CSGO,TWITTER,Community Engagement ,1222,55,Video
2/2/2023 13:17,CSGO,TWITTER,N/A ,0,0,Video
2/2/2023 13:23,CSGO,TWITTER,Community Engagement ,2167,93,Photo
2/2/2023 13:30,CSGO,TWITTER,Community Engagement ,2371,96,Text
2/2/2023 13:30,CSGO,TWITTER,N/A ,0,0,Photo
2/2/2023 13:35,CSGO,TWITTER,N/A ,0,0,Text
2/2/2023 14:08,General ,TWITTER,Community Engagement ,74,8,Text
2/2/2023 14:38,General ,YOUTUBE,Evergreen ,550,17,Video
2/2/2023 14:38,General ,INSTAGRAM,N/A ,0,0,Text
2/2/2023 14:38,General ,INSTAGRAM,N/A ,15296,252,Video
2/2/2023 14:39,General ,TIKTOK_BUSINESS,N/A ,1030,83,Video
2/2/2023 15:00,General ,TWITTER,Community Engagement ,13509,308,Photo
2/2/2023 15:40,General ,TWITTER,Community Engagement ,19155,1100,Video
2/2/2023 16:00,DOTA2,TWITTER,N/A ,939,30,Photo
2/2/2023 16:00,General ,FBPAGE,N/A ,35041,3129,Photo
2/2/2023 16:28,General ,INSTAGRAM,Community Engagement ,5534,0,Photo
2/2/2023 16:30,General ,TWITTER,Community Engagement ,8552,29,Photo
2/2/2023 16:30,General,LINKEDIN_COMPANY,Community Engagement ,1731,13,Photo
2/2/2023 16:30,General ,FBPAGE,Community Engagement ,22554,210,Photo
2/2/2023 16:40,General ,INSTAGRAM,Community Engagement ,4627,0,Video
2/2/2023 16:40,General ,INSTAGRAM,N/A ,0,0,Photo
2/2/2023 17:42,General ,INSTAGRAM,Community Engagement ,4328,0,Photo
2/2/2023 17:51,General ,TWITTER,Community Engagement ,24167,176,Photo
2/2/2023 17:53,DOTA2,TWITTER,N/A ,1129,30,Photo
2/2/2023 17:57,DOTA2,TWITTER,N/A ,45,2,Text
2/2/2023 18:01,General ,INSTAGRAM,Community Engagement ,4087,0,Photo
2/2/2023 18:04,DOTA2,TWITTER,N/A ,44,3,Text
2/2/2023 18:12,DOTA2,TWITTER,N/A ,2961,105,Text
2/2/2023 18:12,General ,TWITTER,Community Engagement ,8796,263,Video
2/2/2023 18:14,General ,TWITTER,Community Engagement ,13464,444,Video
2/2/2023 18:17,General ,INSTAGRAM,Community Engagement ,3821,0,Photo
2/2/2023 18:19,General ,TWITTER,Community Engagement ,12735,128,Photo
2/2/2023 18:21,DOTA2,TWITTER,N/A ,1139,61,Video
2/2/2023 18:25,DOTA2,TWITTER,N/A ,1644,61,Photo
2/2/2023 18:25,General ,TWITTER,Community Engagement ,33429,529,Photo
2/2/2023 18:28,General ,TWITTER,Community Engagement ,777,26,Video
2/2/2023 18:50,General ,TWITTER,Community Engagement ,10524,187,Photo
2/2/2023 18:58,General ,TWITTER,Community Engagement ,257,14,Video
2/2/2023 18:58,General ,TWITTER,N/A ,0,0,Video
2/3/2023 9:56,General ,TWITTER,Evil Exhibited ,8695,107,Photo
2/3/2023 9:56,General ,TWITTER,Evil Exhibited ,147679,1094,Photo
2/3/2023 9:56,General ,INSTAGRAM,Evil Exhibited ,10026,123,Carousel
2/3/2023 9:56,General ,FBPAGE,Evil Exhibited ,25838,311,Photo
2/3/2023 9:58,General ,INSTAGRAM,Evil Exhibited ,3897,0,Photo
2/3/2023 9:58,General ,INSTAGRAM,N/A ,0,0,Photo
2/3/2023 10:00,General ,YOUTUBE,Evergreen ,184,10,Video
2/3/2023 10:00,General ,TWITTER,Community Engagement ,190,3,Video
2/3/2023 10:00,General ,TIKTOK_BUSINESS,Evergreen ,317,22,Video
2/3/2023 10:00,General ,INSTAGRAM,Evil Exhibited ,3474,0,Photo
2/3/2023 10:14,General ,INSTAGRAM,Evergreen ,1587,20,Video
2/3/2023 10:23,DOTA2,TWITTER,N/A ,0,0,Photo
2/3/2023 10:29,General ,TWITTER,N/A ,0,0,Text
2/3/2023 12:12,General ,TWITTER,Community Engagement ,1849,43,Video
2/3/2023 12:15,General ,TWITTER,Community Engagement ,1604,18,Text
2/3/2023 13:00,DOTA2,TWITTER,N/A ,767,23,Photo
2/3/2023 13:00,DOTA2,TWITTER,N/A ,3705,324,Photo
2/3/2023 13:00,General ,TWITTER,Community Engagement ,8911,95,Photo
2/3/2023 13:27,General ,TWITTER,Evil Exhibited ,558,12,Text
2/3/2023 13:46,General ,INSTAGRAM,N/A ,0,0,Photo
2/3/2023 13:46,General ,INSTAGRAM,N/A ,0,0,Link
2/3/2023 13:47,General ,TWITTER,N/A ,0,0,Photo
2/3/2023 14:00,General ,YOUTUBE,Evergreen ,1033,38,Video
2/3/2023 14:00,General ,TIKTOK_BUSINESS,Evergreen ,1110,53,Video
2/3/2023 14:00,General ,INSTAGRAM,Evergreen ,12424,217,Video
2/3/2023 14:18,DOTA2,TWITTER,N/A ,774,12,Text
