Published Date,Account,Account Type,Campaign Name,Total Impressions,Total Engagements,Media Type
1/1/2023 14:59,General ,FBPAGE,N/A ,0,0,Photo
1/3/2023 10:34,CSGO,TWITTER,N/A ,0,0,Link
1/3/2023 10:34,CSGO,TWITTER,N/A ,0,0,Link
1/3/2023 10:34,CSGO,TWITTER,N/A ,2116,42,Text
1/3/2023 10:35,CSGO,TWITTER,N/A ,0,0,Link
1/3/2023 10:35,CSGO,TWITTER,N/A ,0,0,Link
1/3/2023 10:35,CSGO,TWITTER,N/A ,0,0,Link
1/3/2023 10:36,CSGO,TWITTER,N/A ,0,0,Text
1/3/2023 13:34,General ,TWITTER,N/A ,7704,153,Text
1/4/2023 8:04,CSGO,TWITTER,N/A ,0,0,Text
1/4/2023 10:42,CSGO,TWITTER,N/A ,0,0,Text
1/4/2023 10:42,CSGO,TWITTER,N/A ,0,0,Text
1/4/2023 10:42,CSGO,TWITTER,N/A ,0,0,Text
1/4/2023 13:00,General ,TWITTER,Community Engagement ,136660,2371,Photo
1/4/2023 13:00,General ,FBPAGE,Community Engagement ,29051,811,Photo
1/4/2023 13:17,General ,TWITTER,N/A ,393,18,Text
1/4/2023 14:57,DOTA2,TWITTER,N/A ,22708,2266,Photo
1/4/2023 14:57,General ,FBPAGE,Community Engagement ,155521,19098,Photo
1/4/2023 16:43,General ,TWITTER,N/A ,239,7,Text
1/5/2023 9:00,CSGO,TWITTER,Community Engagement ,445130,10597,Video
1/5/2023 9:00,General ,TWITTER,N/A ,0,0,Video
1/5/2023 11:55,General ,FBPAGE,N/A ,300,3776,Photo
1/5/2023 16:59,DOTA2,TWITTER,N/A ,4357,254,Text
1/6/2023 9:30,General ,TWITTER,N/A ,20902,513,Text
1/6/2023 12:10,CSGO,TWITTER,N/A ,0,0,Text
1/6/2023 12:16,CSGO,TWITTER,N/A ,0,0,Link
1/6/2023 12:16,CSGO,TWITTER,N/A ,0,0,Link
1/6/2023 17:42,General ,TWITTER,N/A ,973,40,Video
1/8/2023 10:10,General ,INSTAGRAM,N/A ,0,0,Photo
1/8/2023 10:10,General ,INSTAGRAM,N/A ,7267,0,Video
1/8/2023 10:11,General ,INSTAGRAM,N/A ,0,0,Photo
1/8/2023 10:11,General ,INSTAGRAM,N/A ,6436,0,Video
1/8/2023 10:29,General ,INSTAGRAM,N/A ,5895,0,Video
1/8/2023 10:30,General ,INSTAGRAM,N/A ,0,0,Photo
1/8/2023 11:03,General ,INSTAGRAM,N/A ,5659,0,Video
1/8/2023 11:04,General ,INSTAGRAM,N/A ,0,0,Photo
1/8/2023 11:28,General ,INSTAGRAM,N/A ,0,0,Photo
1/8/2023 11:28,General ,INSTAGRAM,N/A ,5498,0,Photo
1/8/2023 11:47,General ,TWITTER,Community Engagement ,19823,243,Photo
1/8/2023 12:21,General ,INSTAGRAM,N/A ,0,0,Photo
1/8/2023 12:21,General ,INSTAGRAM,N/A ,5327,0,Video
1/9/2023 9:10,CSGO,TWITTER,N/A ,0,0,Text
1/9/2023 9:13,CSGO,TWITTER,N/A ,0,0,Link
1/9/2023 9:42,CSGO,TWITTER,N/A ,0,0,Text
1/9/2023 9:59,CSGO,TWITTER,N/A ,2266,71,Text
1/9/2023 10:00,DOTA2,TWITTER,N/A ,3107,177,Text
1/9/2023 10:00,DOTA2,TWITTER,N/A ,35279,1327,Text
1/9/2023 10:00,General ,FBPAGE,N/A ,0,0,Text
1/9/2023 10:00,General ,FBPAGE,N/A ,107752,29860,Text
1/9/2023 10:09,General ,TWITTER,N/A ,13596,290,Video
1/9/2023 10:11,General ,TWITTER,N/A ,26535,194,Text
1/9/2023 11:28,DOTA2,TWITTER,N/A ,683,12,Text
1/9/2023 11:59,General ,FBPAGE,N/A ,0,0,Text
1/9/2023 12:24,DOTA2,TWITTER,N/A ,634,7,Text
1/9/2023 14:02,General ,FBPAGE,N/A ,0,0,Text
1/9/2023 14:04,General ,FBPAGE,N/A ,0,0,Text
1/9/2023 14:51,General ,TWITTER,N/A ,1011,29,Video
1/9/2023 15:25,DOTA2,TWITTER,N/A ,837,101,Video
1/9/2023 19:17,DOTA2,TWITTER,N/A ,450,35,Photo
1/10/2023 2:38,General ,TWITTER,N/A ,32613,274,Text
1/10/2023 8:20,DOTA2,TWITTER,N/A ,7139,694,Text
1/10/2023 9:00,DOTA2,TWITTER,N/A ,4285,400,Video
1/10/2023 9:00,General ,TWITTER,Community Engagement ,294471,5866,Photo
1/10/2023 9:00,General ,FBPAGE,Community Engagement ,28418,2074,Video
1/10/2023 9:01,General ,FBPAGE,N/A ,33609,5042,Video
1/10/2023 9:13,CSGO,TWITTER,N/A ,0,0,Text
1/10/2023 9:30,General ,TWITTER,N/A ,181,9,Text
1/10/2023 9:31,General ,TWITTER,N/A ,1547,16,Text
1/10/2023 9:36,DOTA2,TWITTER,N/A ,268,22,Video
1/10/2023 9:37,DOTA2,TWITTER,N/A ,69,3,Text
1/10/2023 10:00,General ,TWITTER,Community Engagement ,12760,40,Text
1/10/2023 10:00,General ,TWITTER,Community Engagement ,17922,233,Photo
1/10/2023 10:01,General ,TWITTER,N/A ,1366,42,Video
1/10/2023 10:07,General ,TWITTER,N/A ,633,17,Text
1/10/2023 10:11,General ,TWITTER,N/A ,5618,29,Text
1/10/2023 10:13,General ,TWITTER,N/A ,3009,59,Text
1/10/2023 10:34,General ,TWITTER,N/A ,121,10,Link
1/10/2023 10:41,General ,TWITTER,N/A ,42958,951,Photo
1/10/2023 11:03,General ,INSTAGRAM,N/A ,7187,0,Photo
1/10/2023 11:12,General ,INSTAGRAM,N/A ,6154,0,Video
1/10/2023 11:14,General ,TWITTER,Community Engagement ,20198,243,Photo
1/10/2023 11:14,General ,TWITTER,N/A ,16223,689,Video
1/10/2023 11:15,General ,INSTAGRAM,N/A ,5856,0,Video
1/10/2023 11:16,General ,INSTAGRAM,N/A ,5661,0,Photo
1/10/2023 11:25,General ,TWITTER,N/A ,1122,21,Video
1/10/2023 11:35,General ,TWITTER,N/A ,2074,36,Photo
1/10/2023 11:36,General ,TWITTER,N/A ,603,9,Text
1/10/2023 11:53,General ,TWITTER,Community Engagement ,17670,177,Photo
1/10/2023 12:33,DOTA2,TWITTER,N/A ,2801,184,Video
1/10/2023 12:49,General ,INSTAGRAM,N/A ,5224,0,Video
1/10/2023 12:54,General ,TWITTER,Community Engagement ,19801,648,Video
1/10/2023 12:55,General ,INSTAGRAM,N/A ,0,0,Photo
1/10/2023 12:55,General ,INSTAGRAM,N/A ,0,0,Photo
1/10/2023 12:55,General ,INSTAGRAM,N/A ,0,0,Photo
1/10/2023 13:05,General ,TWITTER,N/A ,977,13,Text
1/10/2023 13:34,General ,TWITTER,Community Engagement ,26648,197,Text
1/10/2023 13:35,General ,TWITTER,N/A ,2443,25,Text
1/10/2023 13:47,General ,TWITTER,N/A ,37774,1098,Photo
1/10/2023 13:57,General ,TWITTER,N/A ,26563,1320,Video
1/10/2023 13:59,General ,INSTAGRAM,N/A ,5052,0,Video
1/10/2023 14:02,General ,INSTAGRAM,N/A ,4744,0,Video
1/10/2023 14:07,General ,TWITTER,Community Engagement ,24756,1172,Video
1/10/2023 14:31,DOTA2,TWITTER,N/A ,22013,4465,Video
1/10/2023 14:32,General ,FBPAGE,N/A ,753227,95062,Video
1/10/2023 14:34,General ,FBPAGE,N/A ,0,0,Text
1/10/2023 14:41,General ,TWITTER,N/A ,316,23,Link
1/10/2023 15:03,General ,TWITTER,N/A ,810,31,Text
1/10/2023 15:28,General ,TWITTER,N/A ,1369,26,Text
1/10/2023 17:01,General ,FBPAGE,N/A ,0,0,Text
1/10/2023 17:55,General ,TWITTER,N/A ,3071,54,Text
1/11/2023 9:10,General,LINKEDIN_COMPANY,N/A ,1420,7,Text
1/11/2023 10:00,DOTA2,TWITTER,N/A ,19008,820,Photo
1/11/2023 10:00,General ,FBPAGE,N/A ,84782,14259,Photo
1/11/2023 10:38,DOTA2,TWITTER,N/A ,1656,70,Text
1/11/2023 10:38,General ,FBPAGE,N/A ,0,0,Text
1/11/2023 10:44,DOTA2,TWITTER,N/A ,429,22,Text
1/11/2023 10:45,DOTA2,TWITTER,N/A ,1525,75,Text
1/11/2023 11:07,DOTA2,TWITTER,N/A ,109,5,Photo
1/11/2023 13:00,General ,TWITTER,Community Engagement ,17703,202,Photo
1/11/2023 15:00,DOTA2,TWITTER,N/A ,7835,808,Video
1/11/2023 15:00,General ,FBPAGE,N/A ,50514,14223,Video
1/11/2023 19:19,General ,FBPAGE,N/A ,0,0,Text
1/11/2023 19:19,General ,FBPAGE,N/A ,0,0,Text
1/11/2023 20:48,DOTA2,TWITTER,N/A ,3430,322,Video
1/12/2023 6:48,DOTA2,TWITTER,N/A ,681,98,Photo
1/12/2023 7:00,DOTA2,TWITTER,N/A ,8770,847,Photo
1/12/2023 7:00,General ,FBPAGE,N/A ,73045,30005,Photo
1/12/2023 7:07,DOTA2,TWITTER,N/A ,425,15,Text
1/12/2023 7:11,DOTA2,TWITTER,N/A ,1663,101,Text
1/12/2023 7:11,General ,FBPAGE,N/A ,0,0,Text
1/12/2023 8:21,DOTA2,TWITTER,N/A ,417,13,Text
1/12/2023 8:36,DOTA2,TWITTER,N/A ,170,0,Text
1/12/2023 9:14,DOTA2,TWITTER,N/A ,725,46,Text
1/12/2023 9:23,General,LINKEDIN_COMPANY,N/A ,1176,0,Text
1/12/2023 9:32,DOTA2,TWITTER,N/A ,5147,207,Photo
1/12/2023 9:33,General ,FBPAGE,N/A ,0,0,Link
1/12/2023 9:33,General ,FBPAGE,N/A ,40002,6905,Photo
1/12/2023 9:35,General ,FBPAGE,Community Engagement ,38969,3346,Photo
1/12/2023 9:36,General ,INSTAGRAM,N/A ,10350,0,Photo
1/12/2023 9:37,DOTA2,TWITTER,N/A ,12651,1792,Photo
1/12/2023 9:38,General ,FBPAGE,N/A ,84053,27231,Photo
1/12/2023 9:57,General ,FBPAGE,N/A ,36117,9189,Video
1/12/2023 9:59,DOTA2,TWITTER,N/A ,4071,476,Video
1/12/2023 10:10,General ,TWITTER,N/A ,5663,132,Text
1/12/2023 10:18,DOTA2,TWITTER,N/A ,3491,218,Text
1/12/2023 10:18,General ,FBPAGE,N/A ,43776,6408,Text
1/12/2023 10:22,DOTA2,TWITTER,N/A ,7974,655,Photo
1/12/2023 10:23,General ,FBPAGE,N/A ,116385,25574,Photo
1/12/2023 10:30,General ,FBPAGE,N/A ,0,0,Text
1/12/2023 10:31,General ,FBPAGE,N/A ,0,0,Text
1/12/2023 11:00,CSGO,TWITTER,Community Engagement ,78009,2387,Photo
1/12/2023 11:05,DOTA2,TWITTER,N/A ,1850,109,Photo
1/12/2023 11:08,General ,FBPAGE,N/A ,81877,7535,Photo
1/12/2023 11:22,DOTA2,TWITTER,N/A ,7011,1623,Video
1/12/2023 11:24,General ,FBPAGE,N/A ,58427,20122,Video
1/12/2023 11:37,DOTA2,TWITTER,N/A ,15140,796,Photo
1/12/2023 11:37,DOTA2,TWITTER,N/A ,7163,504,Text
1/12/2023 11:38,General ,FBPAGE,N/A ,59714,16537,Photo
1/12/2023 11:42,DOTA2,TWITTER,N/A ,347,6,Text
1/12/2023 11:43,DOTA2,TWITTER,N/A ,2121,133,Text
1/12/2023 11:45,General ,FBPAGE,Community Engagement ,45130,6516,Photo
1/12/2023 11:47,DOTA2,TWITTER,N/A ,8840,469,Photo
1/12/2023 11:47,General ,INSTAGRAM,N/A ,8746,0,Photo
1/12/2023 11:48,General ,FBPAGE,N/A ,136126,23543,Photo
1/12/2023 11:49,DOTA2,TWITTER,N/A ,0,0,Video
1/12/2023 11:51,DOTA2,TWITTER,N/A ,424,16,Text
1/12/2023 11:53,General ,FBPAGE,N/A ,0,0,Text
1/12/2023 11:57,DOTA2,TWITTER,N/A ,521,3,Text
1/12/2023 12:00,General ,FBPAGE,N/A ,0,0,Text
1/12/2023 12:52,General ,TWITTER,N/A ,2760,58,Text
1/12/2023 12:52,General ,FBPAGE,N/A ,0,0,Text
