Published Date,Account,Account Type,Campaign Name,Total Impressions,Total Engagements,Media Type
3/1/2023 7:25,DOTA2,TWITTER,Community Engagement ,5282,458,Photo
3/1/2023 7:25,General ,FBPAGE,Community Engagement ,69832,41102,Photo
3/1/2023 7:26,DOTA2,TWITTER,N/A ,1575,54,Photo
3/1/2023 7:26,General ,FBPAGE,N/A ,0,0,Photo
3/1/2023 9:00,General ,YOUTUBE,Evergreen ,310,4,Video
3/1/2023 9:00,General ,TWITTER,Community Engagement ,11724,20,Link
3/1/2023 9:00,General ,TWITTER,Community Engagement ,12082,29,Link
3/1/2023 9:00,General ,TWITTER,Community Engagement ,3012,11,Link
3/1/2023 9:00,General ,TWITTER,Community Engagement ,3111,16,Link
3/1/2023 9:00,General ,TWITTER,Community Engagement ,18318,157,Text
3/1/2023 9:00,General ,TIKTOK_BUSINESS,Evergreen ,476,13,Video
3/1/2023 9:00,General,LINKEDIN_COMPANY,Community Engagement ,2190,30,Link
3/1/2023 9:06,General ,INSTAGRAM,Evergreen ,13030,148,Video
3/1/2023 10:16,General ,TWITTER,Community Engagement ,29705,698,Photo
3/1/2023 10:19,General ,FBPAGE,Community Engagement ,47393,4353,Photo
3/1/2023 12:00,Valorant,YOUTUBE,Evil Exhibited ,34,3,Video
3/1/2023 12:00,General ,TIKTOK_BUSINESS,Evil Exhibited ,480,13,Video
3/1/2023 12:08,General ,INSTAGRAM,Evil Exhibited ,10215,127,Video
3/1/2023 12:23,DOTA2,TWITTER,Community Engagement ,4556,110,Photo
3/1/2023 12:23,General ,FBPAGE,Community Engagement ,22602,2139,Photo
3/1/2023 12:24,General ,FBPAGE,N/A ,0,0,Link
3/1/2023 12:25,General ,TWITTER,Community Engagement ,21726,457,Photo
3/1/2023 12:25,General ,INSTAGRAM,N/A ,11081,0,Photo
3/1/2023 12:25,General ,FBPAGE,Community Engagement ,14299,630,Photo
3/1/2023 12:30,DOTA2,TWITTER,N/A ,811,45,Text
3/1/2023 12:47,DOTA2,TWITTER,N/A ,382,13,Text
3/1/2023 13:08,DOTA2,TWITTER,N/A ,5033,400,Text
3/1/2023 13:12,DOTA2,TWITTER,N/A ,405,7,Text
3/1/2023 13:21,DOTA2,TWITTER,N/A ,4852,228,Photo
3/1/2023 13:22,DOTA2,TWITTER,N/A ,186,4,Text
3/1/2023 13:28,General ,FBPAGE,Community Engagement ,44457,13939,Video
3/1/2023 13:29,DOTA2,TWITTER,Community Engagement ,5427,1023,Video
3/1/2023 13:41,DOTA2,TWITTER,Community Engagement ,4583,166,Photo
3/1/2023 13:41,General ,FBPAGE,Community Engagement ,38798,6510,Photo
3/1/2023 14:49,DOTA2,TWITTER,Community Engagement ,9142,503,Photo
3/1/2023 14:49,General ,FBPAGE,Community Engagement ,52933,15257,Photo
3/1/2023 14:51,DOTA2,TWITTER,N/A ,892,28,Text
